municipality_code,ine_code,municipality_name,nuts3_code
34110606038,06038,Cordobilla de Lácara,ES431
34010404001,04001,Abla,ES611
34010404002,04002,Abrucena,ES611
34010404003,04003,Adra,ES611
34010404004,04004,Albanchez,ES611
34010404005,04005,Alboloduy,ES611
34010404006,04006,Albox,ES611
34010404007,04007,Alcolea,ES611
34010404008,04008,Alcóntar,ES611
34010404009,04009,Alcudia de Monteagud,ES611
34010404010,04010,Alhabia,ES611
34010404011,04011,Alhama de Almería,ES611
34010404012,04012,Alicún,ES611
34010404013,04013,Almería,ES611
34110606039,06039,La Coronada,ES431
34010404014,04014,Almócita,ES611
34010404015,04015,Alsodux,ES611
34010404016,04016,Antas,ES611
34010404017,04017,Arboleas,ES611
34010404018,04018,Armuña de Almanzora,ES611
34010404019,04019,Bacares,ES611
34111010001,10001,Abadía,ES432
34010404020,04020,Bayárcal,ES611
34010404021,04021,Bayarque,ES611
34010404022,04022,Bédar,ES611
34110606040,06040,Corte de Peleas,ES431
34010404023,04023,Beires,ES611
34010404024,04024,Benahadux,ES611
34010404026,04026,Benitagla,ES611
34010404027,04027,Benizalón,ES611
34110606041,06041,Cristina,ES431
34010404028,04028,Bentarique,ES611
34010404029,04029,Berja,ES611
34111010114,10114,Majadas,ES432
34010404030,04030,Canjáyar,ES611
34010404031,04031,Cantoria,ES611
34010404032,04032,Carboneras,ES611
34010404033,04033,Castro de Filabres,ES611
34010404034,04034,Cóbdar,ES611
34010404035,04035,Cuevas del Almanzora,ES611
34010404036,04036,Chercos,ES611
34010404037,04037,Chirivel,ES611
34010404038,04038,Dalías,ES611
34010404041,04041,Enix,ES611
34010404043,04043,Felix,ES611
34153131036,31036,Arróniz,ES220
34010404044,04044,Fines,ES611
34010404045,04045,Fiñana,ES611
34010404046,04046,Fondón,ES611
34010404047,04047,Gádor,ES611
34010404048,04048,Los Gallardos,ES611
34010404049,04049,Garrucha,ES611
34010404050,04050,Gérgal,ES611
34153131037,31037,Arruazu,ES220
34010404051,04051,Huécija,ES611
34010404052,04052,Huércal de Almería,ES611
34010404053,04053,Huércal-Overa,ES611
34010404054,04054,Íllar,ES611
34010404055,04055,Instinción,ES611
34010404056,04056,Laroya,ES611
34010404057,04057,Láujar de Andarax,ES611
34010404058,04058,Líjar,ES611
34010404059,04059,Lubrín,ES611
34010404060,04060,Lucainena de las Torres,ES611
34010404061,04061,Lúcar,ES611
34010404062,04062,Macael,ES611
34010404063,04063,María,ES611
34010404064,04064,Mojácar,ES611
34010404065,04065,Nacimiento,ES611
34010404066,04066,Níjar,ES611
34010404067,04067,Ohanes,ES611
34110606042,06042,Cheles,ES431
34010404068,04068,Olula de Castro,ES611
34110606043,06043,Don Álvaro,ES431
34110606044,06044,Don Benito,ES431
34010404069,04069,Olula del Río,ES611
34010404070,04070,Oria,ES611
34010404071,04071,Padules,ES611
34110606045,06045,Entrín Bajo,ES431
34010404072,04072,Partaloa,ES611
34010404073,04073,Paterna del Río,ES611
34010404074,04074,Pechina,ES611
34010404075,04075,Pulpí,ES611
34010404076,04076,Purchena,ES611
34010404077,04077,Rágol,ES611
34010404078,04078,Rioja,ES611
34010404079,04079,Roquetas de Mar,ES611
34010404080,04080,Santa Cruz de Marchena,ES611
34110606046,06046,Esparragalejo,ES431
34010404081,04081,Santa Fe de Mondújar,ES611
34010404082,04082,Senés,ES611
34010404083,04083,Serón,ES611
34010404084,04084,Sierro,ES611
34010404085,04085,Somontín,ES611
34010404086,04086,Sorbas,ES611
34010404087,04087,Suflí,ES611
34110606047,06047,Esparragosa de la Serena,ES431
34110606048,06048,Esparragosa de Lares,ES431
34010404088,04088,Tabernas,ES611
34010404089,04089,Taberno,ES611
34010404090,04090,Tahal,ES611
34010404091,04091,Terque,ES611
34010404092,04092,Tíjola,ES611
34010404093,04093,Turre,ES611
34010404094,04094,Turrillas,ES611
34010404095,04095,Uleila del Campo,ES611
34010404096,04096,Urrácal,ES611
34111010115,10115,Malpartida de Cáceres,ES432
34111010116,10116,Malpartida de Plasencia,ES432
34010404097,04097,Velefique,ES611
34010404098,04098,Vélez-Blanco,ES611
34010404099,04099,Vélez-Rubio,ES611
34010404100,04100,Vera,ES611
34010404101,04101,Viator,ES611
34111010117,10117,Marchagaz,ES432
34010404102,04102,Vícar,ES611
34111010118,10118,Mata de Alcántara,ES432
34111010119,10119,Membrío,ES432
34111010120,10120,Mesas de Ibor,ES432
34010404103,04103,Zurgena,ES611
34010404901,04901,Las Tres Villas,ES611
34010404902,04902,El Ejido,ES611
34010404903,04903,La Mojonera,ES611
34010404904,04904,Balanegra,ES611
34011111001,11001,Alcalá de los Gazules,ES612
34111010122,10122,Millanes,ES432
34011111002,11002,Alcalá del Valle,ES612
34011111003,11003,Algar,ES612
34011111004,11004,Algeciras,ES612
34011111005,11005,Algodonales,ES612
34011111006,11006,Arcos de la Frontera,ES612
34011111007,11007,Barbate,ES612
34011111008,11008,Los Barrios,ES612
34011111009,11009,Benaocaz,ES612
34011111010,11010,Bornos,ES612
34011111011,11011,El Bosque,ES612
34011111012,11012,Cádiz,ES612
34011111013,11013,Castellar de la Frontera,ES612
34011111014,11014,Conil de la Frontera,ES612
34153131042,31042,Azagra,ES220
34011111015,11015,Chiclana de la Frontera,ES612
34011111016,11016,Chipiona,ES612
34153131043,31043,Azuelo,ES220
34011111017,11017,Espera,ES612
34153131044,31044,Bakaiku,ES220
34011111018,11018,El Gastor,ES612
34153131045,31045,Barásoain,ES220
34011111019,11019,Grazalema,ES612
34011111020,11020,Jerez de la Frontera,ES612
34011111021,11021,Jimena de la Frontera,ES612
34011111022,11022,La Línea de la Concepción,ES612
34011111023,11023,Medina Sidonia,ES612
34011111024,11024,Olvera,ES612
34011111025,11025,Paterna de Rivera,ES612
34011111026,11026,Prado del Rey,ES612
34011111027,11027,El Puerto de Santa María,ES612
34011111028,11028,Puerto Real,ES612
34111010002,10002,Abertura,ES432
34011111029,11029,Puerto Serrano,ES612
34011111030,11030,Rota,ES612
34011111031,11031,San Fernando,ES612
34011111032,11032,Sanlúcar de Barrameda,ES612
34011111033,11033,San Roque,ES612
34011111034,11034,Setenil de las Bodegas,ES612
34011111035,11035,Tarifa,ES612
34011111036,11036,Torre Alháquime,ES612
34011111037,11037,Trebujena,ES612
34011111038,11038,Ubrique,ES612
34011111039,11039,Vejer de la Frontera,ES612
34011111040,11040,Villaluenga del Rosario,ES612
34011111041,11041,Villamartín,ES612
34011111042,11042,Zahara,ES612
34011111901,11901,Benalup-Casas Viejas,ES612
34011111902,11902,San José del Valle,ES612
34011111903,11903,San Martín del Tesorillo,ES612
34011414001,14001,Adamuz,ES613
34011414002,14002,Aguilar de la Frontera,ES613
34011414003,14003,Alcaracejos,ES613
34011414004,14004,Almedinilla,ES613
34011414005,14005,Almodóvar del Río,ES613
34011414006,14006,Añora,ES613
34011414007,14007,Baena,ES613
34011414008,14008,Belalcázar,ES613
34011414009,14009,Belmez,ES613
34011414010,14010,Benamejí,ES613
34153131046,31046,Barbarin,ES220
34011414011,14011,Los Blázquez,ES613
34011414012,14012,Bujalance,ES613
34011414013,14013,Cabra,ES613
34011414014,14014,Cañete de las Torres,ES613
34011414015,14015,Carcabuey,ES613
34011414016,14016,Cardeña,ES613
34011414017,14017,La Carlota,ES613
34153131047,31047,Bargota,ES220
34011414018,14018,El Carpio,ES613
34011414019,14019,Castro del Río,ES613
34111010003,10003,Acebo,ES432
34111010004,10004,Acehúche,ES432
34011414020,14020,Conquista,ES613
34011414021,14021,Córdoba,ES613
34011414022,14022,Doña Mencía,ES613
34011414023,14023,Dos Torres,ES613
34011414024,14024,Encinas Reales,ES613
34011414025,14025,Espejo,ES613
34011414026,14026,Espiel,ES613
34011414027,14027,Fernán-Núñez,ES613
34011414028,14028,Fuente la Lancha,ES613
34011414029,14029,Fuente Obejuna,ES613
34011414030,14030,Fuente Palmera,ES613
34011414031,14031,Fuente-Tójar,ES613
34011414032,14032,La Granjuela,ES613
34111010005,10005,Aceituna,ES432
34153131048,31048,Barillas,ES220
34011414033,14033,Guadalcázar,ES613
34011414034,14034,El Guijo,ES613
34011414035,14035,Hinojosa del Duque,ES613
34011414036,14036,Hornachuelos,ES613
34011414037,14037,Iznájar,ES613
34011414038,14038,Lucena,ES613
34011414039,14039,Luque,ES613
34011414040,14040,Montalbán de Córdoba,ES613
34011414041,14041,Montemayor,ES613
34011414042,14042,Montilla,ES613
34011414043,14043,Montoro,ES613
34011414044,14044,Monturque,ES613
34011414045,14045,Moriles,ES613
34011414046,14046,Nueva Carteya,ES613
34011414047,14047,Obejo,ES613
34011414048,14048,Palenciana,ES613
34011414049,14049,Palma del Río,ES613
34011414050,14050,Pedro Abad,ES613
34011414051,14051,Pedroche,ES613
34011414052,14052,Peñarroya-Pueblonuevo,ES613
34011414053,14053,Posadas,ES613
34011414054,14054,Pozoblanco,ES613
34011414055,14055,Priego de Córdoba,ES613
34011414056,14056,Puente Genil,ES613
34011414057,14057,La Rambla,ES613
34011414058,14058,Rute,ES613
34011414059,14059,San Sebastián de los Ballesteros,ES613
34011414060,14060,Santaella,ES613
34011414061,14061,Santa Eufemia,ES613
34011414062,14062,Torrecampo,ES613
34011414063,14063,Valenzuela,ES613
34011414064,14064,Valsequillo,ES613
34011414065,14065,La Victoria,ES613
